case,model,step,x,y,Cfx_ref,Cfx_case,Cp_ref,Cp_case,Yplus_ref,Yplus_case
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.762791,0.030260,2.090230e-03,2.090230e-03,-1.512230e-01,-1.512230e-01,0.9691,0.9691
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.767993,0.029708,2.069531e-03,2.069531e-03,-1.457636e-01,-1.457636e-01,0.9643,0.9643
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.773159,0.029156,2.048841e-03,2.048841e-03,-1.403006e-01,-1.403006e-01,0.9595,0.9595
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.778288,0.028605,2.028011e-03,2.028011e-03,-1.349015e-01,-1.349015e-01,0.9547,0.9547
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.783382,0.028053,2.007183e-03,2.007183e-03,-1.294229e-01,-1.294229e-01,0.9498,0.9498
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.788440,0.027503,1.986527e-03,1.986527e-03,-1.240070e-01,-1.240070e-01,0.9449,0.9449
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.793463,0.026952,1.965511e-03,1.965511e-03,-1.185951e-01,-1.185951e-01,0.9399,0.9399
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.798451,0.026403,1.944351e-03,1.944351e-03,-1.131862e-01,-1.131862e-01,0.9349,0.9349
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.803405,0.025853,1.923402e-03,1.923402e-03,-1.077695e-01,-1.077695e-01,0.9299,0.9299
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.808324,0.025305,1.901931e-03,1.901931e-03,-1.023448e-01,-1.023448e-01,0.9247,0.9247
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.813208,0.024757,1.880383e-03,1.880383e-03,-9.690917e-02,-9.690917e-02,0.9195,0.9195
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.818058,0.024209,1.858670e-03,1.858670e-03,-9.146167e-02,-9.146167e-02,0.9142,0.9142
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.822875,0.023663,1.836768e-03,1.836768e-03,-8.600063e-02,-8.600063e-02,0.9089,0.9089
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.827658,0.023117,1.814665e-03,1.814665e-03,-8.052421e-02,-8.052421e-02,0.9034,0.9034
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.832407,0.022572,1.792349e-03,1.792349e-03,-7.503036e-02,-7.503036e-02,0.8979,0.8979
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.837124,0.022027,1.769805e-03,1.769805e-03,-6.951687e-02,-6.951687e-02,0.8922,0.8922
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.841807,0.021484,1.747018e-03,1.747018e-03,-6.398129e-02,-6.398129e-02,0.8865,0.8865
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.846458,0.020941,1.723972e-03,1.723972e-03,-5.842110e-02,-5.842110e-02,0.8807,0.8807
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.851076,0.020399,1.700646e-03,1.700646e-03,-5.283358e-02,-5.283358e-02,0.8747,0.8747
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.855662,0.019858,1.677020e-03,1.677020e-03,-4.721580e-02,-4.721580e-02,0.8687,0.8687
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.860216,0.019318,1.653068e-03,1.653068e-03,-4.156469e-02,-4.156469e-02,0.8625,0.8625
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.864738,0.018779,1.628764e-03,1.628764e-03,-3.587724e-02,-3.587724e-02,0.8562,0.8562
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.869228,0.018241,1.604081e-03,1.604081e-03,-3.015012e-02,-3.015012e-02,0.8497,0.8497
