setting,quantity,coeff,step,value
L1,NN2,CL,24,-3.590150e-05
L1,NN2,CL,25,1.052450e-05
L1,NN2,CL,26,4.910600e-05
L1,NN2,CL,27,8.020290e-05
L1,NN2,CL,28,1.160589e-04
L1,NN2,CL,29,1.591951e-04
L1,NN2,CL,30,1.429610e-05
L1,NN2,CL,31,-8.796230e-05
L1,NN2,CL,32,-1.167249e-04
L1,NN2,CL,33,-1.740665e-04
L1,NN2,CL,34,-2.156180e-04
L1,NN2,CL,35,-2.314301e-04
L1,NN2,CL,36,-2.418532e-04
L1,NN2,CL,37,-2.482822e-04
L1,NN2,CL,38,-2.478600e-04
L1,NN2,CL,39,-2.361984e-04
L1,NN2,CD,2,0.000000e+00
L1,NN2,CD,3,0.000000e+00
L1,NN2,CD,4,0.000000e+00
L1,NN2,CD,5,0.000000e+00
L1,NN2,CD,6,0.000000e+00
L1,NN2,CD,7,0.000000e+00
L1,NN2,CD,8,0.000000e+00
L1,NN2,CD,9,0.000000e+00
L1,NN2,CD,10,1.191077e-05
L1,NN2,CD,11,1.283044e-06
L1,NN2,CD,12,-2.054974e-06
L1,NN2,CD,13,-5.387540e-07
L1,NN2,CD,14,2.791432e-06
L1,NN2,CD,15,5.726193e-06
L1,NN2,CD,16,7.858345e-06
L1,NN2,CD,17,9.052721e-06
L1,NN2,CD,18,8.387600e-06
L1,NN2,CD,19,5.711887e-06
L1,NN2,CD,20,1.019701e-05
L1,NN2,CD,21,1.607952e-05
L1,NN2,CD,22,1.950624e-06
L1,NN2,CD,23,-1.139502e-06
L1,NN2,CD,24,1.655900e-07
L1,NN2,CD,25,4.383861e-06
L1,NN2,CD,26,9.162860e-06
L1,NN2,CD,27,1.353282e-05
L1,NN2,CD,28,1.890666e-05
