case,model,step,which,field,src_integral,tgt_integral,rel_defect_(tgt-src)/src,src_change_since_prev_event
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,158,bdf2_level,Momentum_x,3.119235057366e+03,3.119235057349e+03,-5.358e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,158,bdf2_level,Momentum_y,3.275320535026e+02,3.275320535082e+02,1.718e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,158,bdf2_level,Energy,5.616358237628e+04,5.616358237626e+04,-3.556e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,158,bdf2_level,Nu_Tilde,1.588958953806e-03,1.588958961334e-03,4.738e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,159,state,Density,3.136378599928e+04,3.136378599927e+04,-2.990e-13,1.308e-12
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,159,state,Momentum_x,3.119235057264e+03,3.119235057249e+03,-4.854e-12,-2.447e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,159,state,Momentum_y,3.275320531203e+02,3.275320531259e+02,1.711e-11,-7.796e-09
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,159,state,Energy,5.616358237629e+04,5.616358237627e+04,-3.601e-13,1.840e-12
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,159,state,Nu_Tilde,1.588958885971e-03,1.588958893429e-03,4.694e-09,-3.349e-07
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,168,bdf2_level,Density,3.136378599929e+04,3.136378599929e+04,-1.379e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,168,bdf2_level,Momentum_x,3.119235056468e+03,3.119235056464e+03,-1.281e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,168,bdf2_level,Momentum_y,3.275320516490e+02,3.275320516510e+02,6.157e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,168,bdf2_level,Energy,5.616358237634e+04,5.616358237633e+04,-1.845e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,168,bdf2_level,Nu_Tilde,1.588958937059e-03,1.588958944261e-03,4.533e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,169,state,Density,3.136378599930e+04,3.136378599929e+04,-1.405e-13,6.378e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,169,state,Momentum_x,3.119235056389e+03,3.119235056385e+03,-1.378e-12,-2.806e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,169,state,Momentum_y,3.275320516619e+02,3.275320516637e+02,5.507e-12,-4.453e-09
