grid,dim,solution,interp_order,method,resolution,n_points,h,field,geom_defect,supermesh_defect
Mixed,2,Discontinuous,SecondOrder,NN,128,24408,0.006400794772021405,Energy,0.00015894208614525992,nan
Mixed,2,Discontinuous,SecondOrder,NN,256,96409,0.0032206327947704866,Density,9.599971915320141e-05,nan
Mixed,2,Discontinuous,SecondOrder,NN,256,96409,0.0032206327947704866,Momentum_x,0.0012436596480173846,nan
Mixed,2,Discontinuous,SecondOrder,NN,256,96409,0.0032206327947704866,Momentum_y,0.0012436596480173846,nan
Mixed,2,Discontinuous,SecondOrder,NN,256,96409,0.0032206327947704866,Energy,0.00020615576541688202,nan
Mixed,2,Discontinuous,ThirdOrder,Barycentric,64,6073,0.012832118438741323,Density,0.0005817155145709902,nan
Mixed,2,Discontinuous,ThirdOrder,Barycentric,64,6073,0.012832118438741323,Momentum_x,0.0074218879938018,nan
Mixed,2,Discontinuous,ThirdOrder,Barycentric,64,6073,0.012832118438741323,Momentum_y,0.0074218879938018,nan
Mixed,2,Discontinuous,ThirdOrder,Barycentric,64,6073,0.012832118438741323,Energy,0.0012507936925407492,nan
Mixed,2,Discontinuous,ThirdOrder,Barycentric,128,24408,0.006400794772021405,Density,0.0002916242554324108,nan
Mixed,2,Discontinuous,ThirdOrder,Barycentric,128,24408,0.006400794772021405,Momentum_x,0.0037406731037949973,nan
Mixed,2,Discontinuous,ThirdOrder,Barycentric,128,24408,0.006400794772021405,Momentum_y,0.0037406731037949973,nan
Mixed,2,Discontinuous,ThirdOrder,Barycentric,128,24408,0.006400794772021405,Energy,0.000626765520407403,nan
Mixed,2,Discontinuous,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,Density,0.00012486732515770154,nan
Mixed,2,Discontinuous,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,Momentum_x,0.0016176344579263335,nan
Mixed,2,Discontinuous,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,Momentum_y,0.0016176344579263335,nan
Mixed,2,Discontinuous,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,Energy,0.000268147857309076,nan
Mixed,2,Discontinuous,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Density,0.0008082087108798462,nan
Mixed,2,Discontinuous,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Momentum_x,0.010311628928078628,nan
Mixed,2,Discontinuous,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Momentum_y,0.010311628928078628,nan
Mixed,2,Discontinuous,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Energy,0.0017377950777066557,nan
Mixed,2,Discontinuous,ThirdOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Density,0.0003424788967305856,nan
